bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,carrier_name,is_late,cancelled,flight_number
False,True,True,False,True,Hawaiian Airlines,18,0,18
False,True,True,False,True,JetBlue Airways,328,0,328
False,True,True,False,True,PSA Airlines,1447,0,1447
False,True,True,False,True,Republic Airways,484,0,484
False,True,True,False,True,Southwest Airlines,2146,0,2146
False,True,True,False,True,Spirit Airlines,640,0,640
False,True,True,False,True,United Airlines,1231,0,1231
False,True,True,True,False,Allegiant Air,1,0,1
False,True,True,True,False,American Airlines,2,0,2
False,True,True,True,False,Delta Air Lines,1,0,1
False,True,True,True,False,Spirit Airlines,4,0,4
False,True,True,True,True,Allegiant Air,1,0,1
False,True,True,True,True,American Airlines,2,0,2
False,True,True,True,True,Republic Airways,1,0,1
True,False,False,False,False,Alaska Airlines,6856,0,6856
True,False,False,False,False,Allegiant Air,3423,0,3423
True,False,False,False,False,American Airlines,34355,0,34355
True,False,False,False,False,Delta Air Lines,38871,0,38871
True,False,False,False,False,Endeavor Air,4662,0,4662
True,False,False,False,False,Envoy Air,5662,0,5662
True,False,False,False,False,Frontier Airlines,5991,0,5991
True,False,False,False,False,Hawaiian Airlines,5208,0,5208
True,False,False,False,False,JetBlue Airways,8799,0,8799
True,False,False,False,False,PSA Airlines,5820,0,5820
True,False,False,False,False,Republic Airways,5635,0,5635
True,False,False,False,False,SkyWest Airlines,53313,0,53313
True,False,False,False,False,Southwest Airlines,31874,0,31874
True,False,False,False,False,Spirit Airlines,7622,0,7622
True,False,False,False,False,United Airlines,22070,0,22070
True,False,False,False,True,Alaska Airlines,1669,0,1669
True,False,False,False,True,Allegiant Air,3212,0,3212
True,False,False,False,True,American Airlines,52890,0,52890
True,False,False,False,True,Delta Air Lines,21304,0,21304
True,False,False,False,True,Endeavor Air,3694,0,3694
True,False,False,False,True,Envoy Air,8808,0,8808
True,False,False,False,True,Frontier Airlines,6859,0,6859
True,False,False,False,True,Hawaiian Airlines,3745,0,3745
True,False,False,False,True,JetBlue Airways,16493,0,16493
True,False,False,False,True,PSA Airlines,7975,0,7975
True,False,False,False,True,Republic Airways,3541,0,3541
True,False,False,False,True,Southwest Airlines,80500,0,80500
True,False,False,False,True,Spirit Airlines,390,0,390
True,False,False,False,True,United Airlines,30757,0,30757
True,False,False,True,False,Allegiant Air,3,0,3
True,False,False,True,False,American Airlines,47,0,47
True,False,False,True,False,Delta Air Lines,20,0,20
True,False,False,True,False,Endeavor Air,2,0,2
True,False,False,True,False,Envoy Air,8,0,8
True,False,False,True,False,Hawaiian Airlines,64,0,64
True,False,False,True,False,JetBlue Airways,15,0,15
True,False,False,True,False,PSA Airlines,18,0,18
True,False,False,True,False,Republic Airways,5,0,5
True,False,False,True,False,Spirit Airlines,4,0,4
True,False,False,True,True,Allegiant Air,1,0,1
True,False,False,True,True,American Airlines,84,0,84
True,False,False,True,True,Delta Air Lines,6,0,6
True,False,False,True,True,Envoy Air,9,0,9
True,False,False,True,True,Hawaiian Airlines,12,0,12
True,False,False,True,True,PSA Airlines,25,0,25
True,False,False,True,True,Republic Airways,1,0,1
True,False,False,True,True,Spirit Airlines,2,0,2
True,False,True,False,False,Alaska Airlines,7113,0,7113
True,False,True,False,False,Allegiant Air,2533,0,2533
True,False,True,False,False,American Airlines,29848,0,29848
True,False,True,False,False,Delta Air Lines,24473,0,24473
True,False,True,False,False,Endeavor Air,2761,0,2761
True,False,True,False,False,Envoy Air,5825,0,5825
True,False,True,False,False,Frontier Airlines,5711,0,5711
True,False,True,False,False,Hawaiian Airlines,204,0,204
True,False,True,False,False,JetBlue Airways,8613,0,8613
True,False,True,False,False,PSA Airlines,5290,0,5290
True,False,True,False,False,Republic Airways,4513,0,4513
True,False,True,False,False,SkyWest Airlines,24296,0,24296
True,False,True,False,False,Southwest Airlines,22618,0,22618
True,False,True,False,False,Spirit Airlines,13111,0,13111
True,False,True,False,False,United Airlines,18096,0,18096
True,False,True,False,True,Alaska Airlines,2449,0,2449
True,False,True,False,True,Allegiant Air,2183,0,2183
True,False,True,False,True,American Airlines,27121,0,27121
True,False,True,False,True,Delta Air Lines,11156,0,11156
True,False,True,False,True,Endeavor Air,2091,0,2091
True,False,True,False,True,Envoy Air,5926,0,5926
True,False,True,False,True,Frontier Airlines,6647,0,6647
True,False,True,False,True,Hawaiian Airlines,128,0,128
True,False,True,False,True,JetBlue Airways,7403,0,7403
True,False,True,False,True,PSA Airlines,4596,0,4596
True,False,True,False,True,Republic Airways,2653,0,2653
True,False,True,False,True,Southwest Airlines,34759,0,34759
True,False,True,False,True,Spirit Airlines,9108,0,9108
True,False,True,False,True,United Airlines,11996,0,11996
True,False,True,True,False,Allegiant Air,3,0,3
True,False,True,True,False,American Airlines,42,0,42
True,False,True,True,False,Delta Air Lines,8,0,8
True,False,True,True,False,Envoy Air,6,0,6
True,False,True,True,False,Hawaiian Airlines,1,0,1
True,False,True,True,False,JetBlue Airways,14,0,14
True,False,True,True,False,PSA Airlines,12,0,12
True,False,True,True,False,Republic Airways,2,0,2
True,False,True,True,False,Spirit Airlines,142,0,142
True,False,True,True,True,American Airlines,35,0,35
True,False,True,True,True,Delta Air Lines,2,0,2
True,False,True,True,True,Envoy Air,8,0,8
True,False,True,True,True,PSA Airlines,8,0,8
True,False,True,True,True,Spirit Airlines,77,0,77
True,True,False,False,False,Allegiant Air,77,0,77
True,True,False,False,False,American Airlines,177,0,177
True,True,False,False,False,Delta Air Lines,249,0,249
True,True,False,False,False,Endeavor Air,34,0,34
True,True,False,False,False,Envoy Air,34,0,34
True,True,False,False,False,Frontier Airlines,9,0,9
True,True,False,False,False,Hawaiian Airlines,188,0,188
True,True,False,False,False,JetBlue Airways,40,0,40
True,True,False,False,False,PSA Airlines,31,0,31
True,True,False,False,False,Republic Airways,23,0,23
True,True,False,False,False,Spirit Airlines,4,0,4
True,True,False,False,True,Allegiant Air,7,0,7
True,True,False,False,True,American Airlines,274,0,274
True,True,False,False,True,Delta Air Lines,222,0,222
True,True,False,False,True,Endeavor Air,11,0,11
True,True,False,False,True,Envoy Air,30,0,30
True,True,False,False,True,Frontier Airlines,2,0,2
True,True,False,False,True,Hawaiian Airlines,213,0,213
True,True,False,False,True,PSA Airlines,37,0,37
True,True,False,False,True,Republic Airways,23,0,23
True,True,False,True,False,Allegiant Air,1,0,1
True,True,False,True,False,Hawaiian Airlines,1,0,1
True,True,True,False,False,Allegiant Air,56,0,56
True,True,True,False,False,American Airlines,166,0,166
True,True,True,False,False,Delta Air Lines,229,0,229
True,True,True,False,False,Endeavor Air,33,0,33
True,True,True,False,False,Envoy Air,39,0,39
True,True,True,False,False,Frontier Airlines,6,0,6
True,True,True,False,False,Hawaiian Airlines,2,0,2
True,True,True,False,False,JetBlue Airways,62,0,62
True,True,True,False,False,PSA Airlines,35,0,35
True,True,True,False,False,Republic Airways,33,0,33
True,True,True,False,False,Spirit Airlines,151,0,151
True,True,True,False,True,Allegiant Air,22,0,22
True,True,True,False,True,American Airlines,213,0,213
True,True,True,False,True,Delta Air Lines,181,0,181
True,True,True,False,True,Endeavor Air,9,0,9
True,True,True,False,True,Envoy Air,30,0,30
True,True,True,False,True,Frontier Airlines,4,0,4
True,True,True,False,True,Hawaiian Airlines,2,0,2
True,True,True,False,True,PSA Airlines,23,0,23
True,True,True,False,True,Republic Airways,40,0,40
True,True,True,False,True,Spirit Airlines,37,0,37
