origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Charleston, SC","Cincinnati, OH",12,2,9,0,5,18,1,114
"Charleston, SC","Cleveland, OH",4,0,4,0,11,13,2,50
"Charleston, SC","Columbus, OH",2,2,6,0,4,7,3,20
"Charleston, SC","Dallas, TX",30,1,31,1,41,56,2,322
"Charleston, SC","Dallas/Fort Worth, TX",141,10,140,1,189,288,30,1243
"Charleston, SC","Denver, CO",85,4,80,0,75,133,4,703
"Charleston, SC","Detroit, MI",81,28,41,1,38,120,11,623
"Charleston, SC","Fort Lauderdale, FL",77,5,104,0,93,151,13,636
"Charleston, SC","Fort Myers, FL",0,0,2,0,2,3,1,20
"Charleston, SC","Houston, TX",69,5,61,0,68,118,18,592
"Charleston, SC","Indianapolis, IN",2,0,4,0,1,5,1,24
"Charleston, SC","Las Vegas, NV",24,3,31,0,13,40,5,137
"Charleston, SC","Miami, FL",74,9,78,1,101,160,18,790
"Charleston, SC","Minneapolis, MN",38,1,34,0,31,55,2,273
"Charleston, SC","Nashville, TN",58,3,39,0,100,110,4,747
"Charleston, SC","New York, NY",333,25,289,0,299,554,116,3368
"Charleston, SC","Newark, NJ",82,6,143,0,57,199,21,1425
"Charleston, SC","Philadelphia, PA",101,7,116,1,200,270,16,1375
"Charleston, SC","Pittsburgh, PA",5,1,6,0,5,12,1,48
"Charleston, SC","Seattle, WA",15,3,51,1,41,77,9,350
"Charleston, SC","St. Louis, MO",5,1,1,0,7,7,0,34
"Charleston, SC","Tampa, FL",4,0,7,0,3,7,1,44
"Charleston, SC","Washington, DC",117,12,258,2,241,385,38,2488
"Charleston, SC","White Plains, NY",21,0,24,0,24,32,0,179
"Charleston/Dunbar, WV","Atlanta, GA",159,39,87,1,15,215,7,1069
"Charleston/Dunbar, WV","Charlotte, NC",141,19,163,0,179,277,12,1095
"Charleston/Dunbar, WV","Chicago, IL",132,20,90,1,85,246,17,925
"Charleston/Dunbar, WV","Washington, DC",26,7,25,0,2,37,5,344
"Charlotte Amalie, VI","Atlanta, GA",59,12,92,0,84,149,3,646
"Charlotte Amalie, VI","Charlotte, NC",64,3,131,0,112,171,6,619
"Charlotte Amalie, VI","Chicago, IL",5,0,21,0,10,25,0,112
"Charlotte Amalie, VI","Dallas/Fort Worth, TX",8,0,15,0,13,21,0,48
"Charlotte Amalie, VI","Fort Lauderdale, FL",24,17,74,0,62,106,9,518
"Charlotte Amalie, VI","Houston, TX",10,0,20,0,11,27,2,143
"Charlotte Amalie, VI","Miami, FL",59,9,120,0,162,207,9,908
"Charlotte Amalie, VI","New York, NY",43,13,87,0,86,135,5,543
"Charlotte Amalie, VI","Newark, NJ",12,1,16,0,15,28,1,249
"Charlotte Amalie, VI","Orlando, FL",32,10,99,1,72,130,6,540
"Charlotte Amalie, VI","Philadelphia, PA",13,0,19,0,18,28,1,137
"Charlotte Amalie, VI","San Juan, PR",86,12,99,1,149,195,15,755
"Charlotte Amalie, VI","Washington, DC",36,2,36,0,37,62,3,320
"Charlotte, NC","Akron, OH",181,53,179,5,227,343,12,1287
"Charlotte, NC","Albany, NY",229,35,135,6,213,326,13,1206
"Charlotte, NC","Allentown/Bethlehem/Easton, PA",122,34,116,2,135,245,13,1166
"Charlotte, NC","Appleton, WI",54,16,72,2,82,116,7,365
"Charlotte, NC","Asheville, NC",237,86,234,8,266,463,72,2112
"Charlotte, NC","Atlanta, GA",684,115,612,13,641,1158,51,5383
"Charlotte, NC","Augusta, GA",109,55,77,5,133,230,37,1023
"Charlotte, NC","Austin, TX",328,60,249,13,347,520,23,1911
"Charlotte, NC","Baltimore, MD",657,83,437,31,723,989,44,3324
"Charlotte, NC","Bangor, ME",29,4,13,0,23,38,2,224
"Charlotte, NC","Baton Rouge, LA",108,35,114,4,117,218,12,957
"Charlotte, NC","Birmingham, AL",258,73,264,4,277,484,18,2276
"Charlotte, NC","Boston, MA",725,112,699,14,749,1314,70,5210
"Charlotte, NC","Bozeman, MT",2,0,1,0,2,3,0,12
"Charlotte, NC","Bristol/Johnson City/Kingsport, TN",7,1,7,0,3,12,0,102
"Charlotte, NC","Buffalo, NY",230,41,121,3,234,349,21,1270
"Charlotte, NC","Burlington, VT",98,27,108,4,102,183,11,727
"Charlotte, NC","Cedar Rapids/Iowa City, IA",99,21,63,1,115,164,13,559
"Charlotte, NC","Charleston, SC",427,71,249,5,465,678,39,2819
"Charlotte, NC","Charleston/Dunbar, WV",134,58,127,4,153,272,11,1095
"Charlotte, NC","Charlotte Amalie, VI",90,6,68,0,40,115,4,619
"Charlotte, NC","Charlottesville, VA",3,0,0,0,3,5,0,63
"Charlotte, NC","Chattanooga, TN",115,33,120,4,132,222,11,980
"Charlotte, NC","Chicago, IL",848,121,733,24,832,1392,46,5339
"Charlotte, NC","Christiansted, VI",18,4,23,0,11,30,0,129
"Charlotte, NC","Cincinnati, OH",374,80,324,4,443,639,21,2241
"Charlotte, NC","Cleveland, OH",370,54,243,15,393,574,33,1888
"Charlotte, NC","Columbia, SC",121,47,80,8,155,246,17,1246
"Charlotte, NC","Columbus, OH",361,61,223,7,366,551,17,2043
"Charlotte, NC","Dallas, TX",71,2,58,1,59,99,0,383
"Charlotte, NC","Dallas/Fort Worth, TX",699,120,640,29,624,1133,71,4165
"Charlotte, NC","Dayton, OH",191,52,162,9,198,330,5,1372
"Charlotte, NC","Daytona Beach, FL",145,33,117,0,153,263,33,1397
"Charlotte, NC","Denver, CO",475,62,400,15,504,785,31,2917
"Charlotte, NC","Des Moines, IA",134,23,82,3,143,220,11,727
"Charlotte, NC","Detroit, MI",473,67,269,18,528,778,33,3891
"Charlotte, NC","Evansville, IN",2,0,0,0,1,2,0,22
"Charlotte, NC","Fayetteville, AR",233,63,256,6,237,425,6,1546
"Charlotte, NC","Fayetteville, NC",43,22,33,4,73,101,6,577
"Charlotte, NC","Fort Lauderdale, FL",584,75,537,10,632,1010,57,3607
"Charlotte, NC","Fort Myers, FL",337,49,256,9,355,538,41,2004
"Charlotte, NC","Fort Wayne, IN",20,2,19,0,23,34,0,168
"Charlotte, NC","Gainesville, FL",57,29,50,5,80,123,22,576
"Charlotte, NC","Grand Rapids, MI",182,21,122,11,206,292,11,1067
"Charlotte, NC","Greensboro/High Point, NC",311,84,163,12,358,540,28,2512
"Charlotte, NC","Greer, SC",396,99,335,6,410,699,37,3214
"Charlotte, NC","Gulfport/Biloxi, MS",120,37,133,4,121,229,12,1021
"Charlotte, NC","Harrisburg, PA",188,54,138,7,214,327,14,1349
"Charlotte, NC","Hartford, CT",350,53,193,10,372,520,16,1873
"Charlotte, NC","Hilton Head, SC",112,25,131,4,106,207,11,966
"Charlotte, NC","Houston, TX",436,65,409,10,418,715,55,2686
"Charlotte, NC","Huntsville, AL",123,53,133,9,173,250,17,1139
"Charlotte, NC","Indianapolis, IN",335,48,213,10,387,534,17,1866
"Charlotte, NC","Jackson, WY",23,1,15,0,8,26,0,122
"Charlotte, NC","Jackson/Vicksburg, MS",55,29,86,1,81,137,4,613
"Charlotte, NC","Jacksonville, FL",431,73,275,10,475,671,33,2319
"Charlotte, NC","Jacksonville/Camp Lejeune, NC",102,52,98,1,120,205,19,946
"Charlotte, NC","Kansas City, MO",213,39,136,5,237,332,7,1382
"Charlotte, NC","Key West, FL",175,32,218,2,180,354,34,1438
"Charlotte, NC","Knoxville, TN",372,91,358,8,349,631,30,2575
"Charlotte, NC","Lafayette, LA",60,29,63,4,65,118,7,366
"Charlotte, NC","Las Vegas, NV",394,64,325,11,334,625,22,2579
"Charlotte, NC","Lexington, KY",298,81,254,7,315,505,22,2032
"Charlotte, NC","Little Rock, AR",198,41,215,1,219,340,9,1178
"Charlotte, NC","Los Angeles, CA",517,71,446,19,402,767,43,2991
"Charlotte, NC","Louisville, KY",377,60,261,12,374,590,24,2050
"Charlotte, NC","Madison, WI",187,25,160,4,221,310,5,953
"Charlotte, NC","Manchester, NH",152,33,136,4,158,254,16,1101
"Charlotte, NC","Martha's Vineyard, MA",1,0,1,0,1,1,0,11
"Charlotte, NC","Melbourne, FL",106,29,88,5,115,196,24,1135
"Charlotte, NC","Memphis, TN",320,62,224,16,376,545,17,1959
"Charlotte, NC","Miami, FL",605,87,497,30,432,901,48,3629
"Charlotte, NC","Milwaukee, WI",200,25,118,1,192,296,18,1051
"Charlotte, NC","Minneapolis, MN",309,33,214,10,313,508,25,2537
"Charlotte, NC","Moline, IL",88,25,81,0,96,164,12,721
"Charlotte, NC","Myrtle Beach, SC",356,87,266,8,397,621,33,2624
"Charlotte, NC","Nantucket, MA",0,0,0,0,1,0,0,11
"Charlotte, NC","Nashville, TN",606,93,420,13,669,951,44,3675
"Charlotte, NC","New Bern/Morehead/Beaufort, NC",7,6,8,0,9,18,3,51
"Charlotte, NC","New Orleans, LA",304,44,217,3,320,470,25,1859
"Charlotte, NC","New York, NY",1484,209,1650,37,1432,2610,233,9664
"Charlotte, NC","Newark, NJ",563,89,795,19,581,1160,117,3893
"Charlotte, NC","Norfolk, VA",472,84,334,10,448,686,28,2696
"Charlotte, NC","Oklahoma City, OK",165,22,89,1,161,243,8,817
"Charlotte, NC","Omaha, NE",131,21,67,9,155,208,9,822
"Charlotte, NC","Ontario, CA",89,18,73,3,76,125,3,364
"Charlotte, NC","Orlando, FL",844,146,816,20,1021,1531,108,5419
"Charlotte, NC","Panama City, FL",123,33,139,4,141,242,8,1165
"Charlotte, NC","Pensacola, FL",328,90,307,5,331,547,7,2067
"Charlotte, NC","Peoria, IL",87,35,90,2,102,179,14,759
"Charlotte, NC","Philadelphia, PA",803,99,635,15,833,1242,80,3989
"Charlotte, NC","Phoenix, AZ",545,88,369,13,452,764,19,3038
"Charlotte, NC","Pittsburgh, PA",335,54,157,10,373,516,13,1931
"Charlotte, NC","Portland, ME",159,24,104,2,135,228,14,749
"Charlotte, NC","Portland, OR",81,23,58,6,75,131,3,362
"Charlotte, NC","Providence, RI",300,44,171,2,281,417,16,1585
"Charlotte, NC","Raleigh/Durham, NC",692,97,503,17,782,1090,54,3705
"Charlotte, NC","Rapid City, SD",20,2,22,0,12,28,2,123
"Charlotte, NC","Richmond, VA",465,75,321,15,535,749,32,2766
"Charlotte, NC","Roanoke, VA",27,3,37,0,14,46,3,220
"Charlotte, NC","Rochester, NY",212,28,105,2,201,295,13,1076
"Charlotte, NC","Sacramento, CA",98,16,50,8,98,137,4,370
"Charlotte, NC","Salt Lake City, UT",145,26,104,5,154,234,8,922
"Charlotte, NC","San Antonio, TX",288,46,214,9,284,437,12,1411
"Charlotte, NC","San Diego, CA",310,38,262,7,246,438,12,1625
"Charlotte, NC","San Francisco, CA",396,72,360,16,360,625,14,1617
"Charlotte, NC","San Juan, PR",208,23,138,7,184,286,6,1107
"Charlotte, NC","Santa Ana, CA",69,18,53,2,48,97,2,362
"Charlotte, NC","Sarasota/Bradenton, FL",272,50,192,3,284,442,61,1798
"Charlotte, NC","Savannah, GA",400,102,286,5,453,684,28,2834
"Charlotte, NC","Scranton/Wilkes-Barre, PA",180,32,120,3,196,312,9,1064
"Charlotte, NC","Seattle, WA",310,48,215,13,270,430,16,1321
"Charlotte, NC","Shreveport, LA",91,30,85,3,92,172,8,835
"Charlotte, NC","South Bend, IN",117,37,149,4,138,265,9,1166
"Charlotte, NC","Spokane, WA",26,12,16,3,34,45,1,91
"Charlotte, NC","Springfield, MO",193,47,226,3,205,352,8,1286
"Charlotte, NC","St. Louis, MO",328,48,228,9,342,505,19,2000
"Charlotte, NC","Syracuse, NY",250,33,134,3,224,359,14,1209
"Charlotte, NC","Tallahassee, FL",82,32,72,3,117,173,17,994
"Charlotte, NC","Tampa, FL",660,87,575,17,719,1082,105,3815
"Charlotte, NC","Traverse City, MI",16,4,20,0,20,33,1,209
"Charlotte, NC","Trenton, NJ",6,0,12,0,11,14,4,71
"Charlotte, NC","Tulsa, OK",124,20,65,2,145,204,7,819
"Charlotte, NC","Valparaiso, FL",205,41,138,5,223,322,10,1172
"Charlotte, NC","Washington, DC",749,165,728,26,751,1332,49,5382
"Charlotte, NC","West Palm Beach/Palm Beach, FL",318,38,313,6,331,532,29,2045
"Charlotte, NC","White Plains, NY",216,57,196,5,188,363,28,1483
"Charlotte, NC","Wilmington, NC",445,84,264,13,475,710,36,2827
"Charlottesville, VA","Atlanta, GA",75,5,67,0,77,136,10,1123
"Charlottesville, VA","Charlotte, NC",1,0,3,0,2,5,0,63
"Charlottesville, VA","Chicago, IL",106,6,100,0,34,158,12,636
"Charlottesville, VA","New York, NY",84,23,214,0,109,282,50,1381
"Chattanooga, TN","Atlanta, GA",157,17,154,0,182,314,18,2391
"Chattanooga, TN","Charlotte, NC",102,25,112,3,125,199,11,979
"Chattanooga, TN","Chicago, IL",124,17,123,0,67,245,17,1058
"Chattanooga, TN","Dallas/Fort Worth, TX",190,53,139,2,186,303,23,1455
"Chattanooga, TN","Detroit, MI",34,3,22,0,52,65,2,323
"Chattanooga, TN","Las Vegas, NV",1,0,3,0,0,3,0,53
"Chattanooga, TN","Miami, FL",2,0,1,0,0,2,0,9
"Chattanooga, TN","New York, NY",4,0,2,0,1,5,0,63
"Chattanooga, TN","Sanford, FL",28,5,22,0,35,41,4,110
"Chattanooga, TN","St. Petersburg, FL",27,2,25,1,27,41,5,116
"Chattanooga, TN","Washington, DC",31,2,35,1,17,58,5,296
"Cheyenne, WY","Denver, CO",26,13,31,0,24,67,14,679
"Chicago, IL","Akron, OH",169,15,104,0,118,307,18,1070
"Chicago, IL","Albany, NY",284,32,202,0,247,463,5,1981
"Chicago, IL","Albuquerque, NM",137,8,121,0,119,228,7,1335
"Chicago, IL","Allentown/Bethlehem/Easton, PA",37,3,36,0,28,71,13,314
"Chicago, IL","Anchorage, AK",80,12,122,1,70,181,3,783
"Chicago, IL","Appleton, WI",271,37,216,0,178,486,44,1867
"Chicago, IL","Asheville, NC",120,11,146,0,84,251,38,1205
"Chicago, IL","Aspen, CO",156,34,140,0,67,285,33,998
"Chicago, IL","Atlanta, GA",1029,125,1050,11,1083,1924,101,9428
"Chicago, IL","Augusta, GA",0,0,1,0,0,1,0,12
"Chicago, IL","Austin, TX",555,49,590,4,613,1031,33,4498
"Chicago, IL","Baltimore, MD",555,47,517,3,576,945,48,4616
"Chicago, IL","Bangor, ME",33,2,36,0,30,76,0,350
"Chicago, IL","Billings, MT",11,4,9,0,8,20,0,124
"Chicago, IL","Birmingham, AL",104,11,97,1,120,209,11,1107
"Chicago, IL","Boise, ID",101,3,86,1,43,149,6,615
"Chicago, IL","Boston, MA",965,94,1148,1,1066,1930,101,8331
"Chicago, IL","Bozeman, MT",139,13,78,0,102,201,4,994
"Chicago, IL","Buffalo, NY",361,52,303,1,367,609,35,2712
"Chicago, IL","Burbank, CA",47,1,39,0,37,66,0,276
"Chicago, IL","Burlington, VT",117,10,122,1,111,199,8,968
"Chicago, IL","Cedar Rapids/Iowa City, IA",284,49,273,0,288,562,44,2080
"Chicago, IL","Champaign/Urbana, IL",72,34,92,0,121,177,15,660
"Chicago, IL","Charleston, SC",139,20,126,1,144,260,14,1815
"Chicago, IL","Charleston/Dunbar, WV",150,16,82,1,76,247,14,925
"Chicago, IL","Charlotte Amalie, VI",6,2,7,0,5,13,0,112
"Chicago, IL","Charlotte, NC",725,85,715,12,645,1231,47,5334
"Chicago, IL","Charlottesville, VA",94,9,82,0,38,159,9,636
"Chicago, IL","Chattanooga, TN",125,12,126,0,76,238,12,1058
"Chicago, IL","Cincinnati, OH",422,68,417,3,469,792,24,3664
"Chicago, IL","Cleveland, OH",498,58,370,0,547,857,51,4093
"Chicago, IL","College Station/Bryan, TX",0,0,0,0,0,0,0,2
"Chicago, IL","Colorado Springs, CO",141,7,110,0,96,230,6,1003
"Chicago, IL","Columbia, MO",64,33,106,0,126,178,8,584
"Chicago, IL","Columbia, SC",100,6,77,0,45,156,6,726
"Chicago, IL","Columbus, OH",515,86,467,1,540,919,42,4601
"Chicago, IL","Dallas, TX",399,20,388,6,457,711,55,3381
"Chicago, IL","Dallas/Fort Worth, TX",1080,118,1083,13,857,1788,89,7062
"Chicago, IL","Dayton, OH",145,17,114,0,81,257,12,1209
"Chicago, IL","Decatur, IL",83,11,62,0,54,151,13,627
"Chicago, IL","Denver, CO",1155,87,961,7,1160,1945,155,9765
"Chicago, IL","Des Moines, IA",237,41,216,1,223,430,27,1945
"Chicago, IL","Detroit, MI",874,182,706,1,687,1515,90,7646
"Chicago, IL","Duluth, MN",110,16,85,0,78,200,11,1041
"Chicago, IL","Eagle, CO",39,6,47,0,26,81,2,349
"Chicago, IL","Eau Claire, WI",3,2,3,0,2,8,2,32
"Chicago, IL","El Paso, TX",73,11,73,1,36,134,5,831
"Chicago, IL","Fairbanks, AK",23,4,14,0,19,34,0,147
"Chicago, IL","Fargo, ND",234,64,227,0,212,465,20,1738
"Chicago, IL","Fayetteville, AR",177,42,213,0,152,374,23,1988
"Chicago, IL","Flint, MI",147,17,126,0,82,251,10,829
"Chicago, IL","Fort Dodge, IA",57,3,43,0,48,111,6,384
"Chicago, IL","Fort Lauderdale, FL",509,74,721,13,431,1002,73,4202
"Chicago, IL","Fort Myers, FL",379,46,488,2,330,738,88,3802
"Chicago, IL","Fort Wayne, IN",160,20,149,1,114,306,22,1234
"Chicago, IL","Fresno, CA",58,7,61,0,34,80,7,165
"Chicago, IL","Grand Rapids, MI",483,53,348,0,437,812,53,3672
"Chicago, IL","Great Falls, MT",0,0,0,0,0,0,0,13
"Chicago, IL","Green Bay, WI",216,32,194,1,173,415,31,1708
"Chicago, IL","Greensboro/High Point, NC",124,28,139,0,113,258,13,1301
"Chicago, IL","Greer, SC",124,25,172,2,131,274,16,1435
"Chicago, IL","Hancock/Houghton, MI",79,20,65,0,85,193,32,730
"Chicago, IL","Harlingen/San Benito, TX",1,0,0,0,0,1,0,15
"Chicago, IL","Harrisburg, PA",138,13,117,0,87,219,10,956
"Chicago, IL","Hartford, CT",336,35,287,1,399,591,22,2846
"Chicago, IL","Hayden, CO",18,1,16,0,15,24,0,134
"Chicago, IL","Hays, KS",25,2,20,0,20,45,3,152
"Chicago, IL","Hilton Head, SC",3,0,6,0,3,9,0,38
"Chicago, IL","Honolulu, HI",31,7,31,0,1,48,1,379
"Chicago, IL","Houston, TX",1053,125,1135,1,894,1783,108,7689
"Chicago, IL","Huntsville, AL",133,20,90,0,106,247,8,733
"Chicago, IL","Indianapolis, IN",428,69,385,0,364,715,52,3997
"Chicago, IL","Jackson, WY",122,7,77,0,87,163,7,717
"Chicago, IL","Jacksonville, FL",210,34,202,0,217,394,22,2054
"Chicago, IL","Johnstown, PA",54,16,45,0,33,109,10,365
"Chicago, IL","Joplin, MO",20,1,11,0,20,40,3,214
"Chicago, IL","Kahului, HI",12,1,6,0,4,16,0,126
"Chicago, IL","Kalispell, MT",38,1,37,0,28,63,1,313
"Chicago, IL","Kansas City, MO",735,85,523,2,762,1179,58,5422
"Chicago, IL","Key West, FL",16,12,59,0,19,74,4,378
"Chicago, IL","Knoxville, TN",199,25,218,0,189,405,21,1877
"Chicago, IL","Kona, HI",3,0,3,0,1,4,0,17
"Chicago, IL","La Crosse, WI",30,16,55,0,50,87,6,332
"Chicago, IL","Las Vegas, NV",1046,104,997,12,989,1812,110,8432
"Chicago, IL","Lexington, KY",172,38,157,0,158,330,20,1554
"Chicago, IL","Lincoln, NE",135,12,89,0,60,209,12,973
"Chicago, IL","Little Rock, AR",181,36,231,0,161,390,15,1291
"Chicago, IL","Long Beach, CA",78,6,60,0,57,115,7,530
"Chicago, IL","Los Angeles, CA",1264,107,1060,13,942,1865,95,8025
"Chicago, IL","Louisville, KY",340,46,310,0,331,618,25,3143
"Chicago, IL","Madison, WI",265,53,278,0,289,546,34,2283
"Chicago, IL","Manchester, NH",96,8,62,0,93,153,3,811
"Chicago, IL","Marquette, MI",48,17,66,0,92,125,1,482
"Chicago, IL","Martha's Vineyard, MA",0,0,2,0,1,2,0,11
"Chicago, IL","Mason City, IA",45,6,29,0,31,80,10,453
"Chicago, IL","Memphis, TN",301,56,239,0,322,523,26,2254
"Chicago, IL","Miami, FL",656,64,748,9,541,1166,76,5156
"Chicago, IL","Milwaukee, WI",400,47,336,0,192,678,29,2563
"Chicago, IL","Minneapolis, MN",1148,208,1255,3,1035,2203,80,8843
"Chicago, IL","Missoula, MT",23,8,25,0,21,45,0,250
"Chicago, IL","Moline, IL",171,24,120,0,100,312,25,1195
"Chicago, IL","Montrose/Delta, CO",32,2,25,0,15,52,1,230
"Chicago, IL","Morgantown, WV",2,1,1,0,0,3,1,19
"Chicago, IL","Myrtle Beach, SC",108,5,90,0,103,176,6,841
"Chicago, IL","Nantucket, MA",3,0,4,0,2,6,0,38
"Chicago, IL","Nashville, TN",707,89,567,2,652,1257,84,6688
"Chicago, IL","New Orleans, LA",387,43,348,7,356,650,35,2844
"Chicago, IL","New York, NY",1999,211,2262,16,1747,3667,348,16149
"Chicago, IL","Newark, NJ",690,151,959,4,695,1544,140,6108
"Chicago, IL","Norfolk, VA",244,25,220,0,247,426,8,1761
"Chicago, IL","Oakland, CA",117,4,79,1,94,163,6,645
"Chicago, IL","Oklahoma City, OK",309,54,263,0,276,573,24,2523
"Chicago, IL","Omaha, NE",504,49,368,0,498,827,49,3596
"Chicago, IL","Ontario, CA",44,3,30,1,44,66,5,369
"Chicago, IL","Orlando, FL",909,82,988,4,875,1675,162,7914
"Chicago, IL","Palm Springs, CA",54,9,58,0,49,108,0,578
"Chicago, IL","Panama City, FL",59,2,37,0,43,95,3,479
"Chicago, IL","Pensacola, FL",59,6,35,0,50,87,2,531
"Chicago, IL","Peoria, IL",122,25,107,0,107,268,25,1168
"Chicago, IL","Philadelphia, PA",983,75,960,4,916,1656,67,6301
"Chicago, IL","Phoenix, AZ",1182,92,963,9,1063,1848,90,9068
"Chicago, IL","Pittsburgh, PA",482,42,401,0,470,815,58,4136
"Chicago, IL","Portland, ME",120,14,131,1,100,208,17,1229
"Chicago, IL","Portland, OR",431,34,358,4,340,669,41,2862
"Chicago, IL","Providence, RI",212,36,207,0,230,428,11,1869
"Chicago, IL","Provo, UT",7,2,17,0,18,23,1,78
"Chicago, IL","Punta Gorda, FL",9,1,17,0,19,26,1,92
"Chicago, IL","Raleigh/Durham, NC",515,52,480,2,564,908,33,4318
"Chicago, IL","Rapid City, SD",36,9,27,0,22,57,3,387
"Chicago, IL","Reno, NV",126,11,112,0,92,188,4,499
"Chicago, IL","Richmond, VA",156,8,97,1,118,228,6,1070
"Chicago, IL","Roanoke, VA",84,7,69,0,44,143,9,719
"Chicago, IL","Rochester, MN",45,19,63,0,57,112,4,404
"Chicago, IL","Rochester, NY",244,45,236,0,260,449,18,1970
"Chicago, IL","Sacramento, CA",288,20,228,1,236,422,22,1808
"Chicago, IL","Saginaw/Bay City/Midland, MI",135,19,126,0,101,260,21,1057
"Chicago, IL","Salina, KS",24,3,12,0,10,38,0,195
"Chicago, IL","Salt Lake City, UT",439,57,348,1,339,714,43,3574
"Chicago, IL","San Antonio, TX",314,32,272,2,291,531,17,2114
"Chicago, IL","San Diego, CA",594,38,539,0,463,917,55,3937
"Chicago, IL","San Francisco, CA",777,72,1086,2,672,1582,73,5348
"Chicago, IL","San Jose, CA",177,12,143,1,150,260,4,957
"Chicago, IL","San Juan, PR",129,24,208,3,62,259,11,1315
"Chicago, IL","Santa Ana, CA",258,30,212,2,204,402,5,2119
"Chicago, IL","Sarasota/Bradenton, FL",139,13,178,1,151,278,29,1311
"Chicago, IL","Savannah, GA",123,10,102,0,134,238,15,1578
"Chicago, IL","Scranton/Wilkes-Barre, PA",61,20,97,1,88,155,7,529
"Chicago, IL","Seattle, WA",689,83,787,6,673,1289,50,5574
"Chicago, IL","Sioux City, IA",63,6,45,0,31,103,14,365
"Chicago, IL","Sioux Falls, SD",137,40,128,0,134,267,31,1181
"Chicago, IL","South Bend, IN",292,27,244,0,186,517,51,1989
"Chicago, IL","Spokane, WA",32,5,26,0,16,52,2,143
"Chicago, IL","Springfield, MO",202,40,214,0,189,409,22,1710
"Chicago, IL","St. Louis, MO",458,66,332,3,503,817,53,4515
"Chicago, IL","State College, PA",65,13,48,0,40,124,7,560
"Chicago, IL","Sun Valley/Hailey/Ketchum, ID",18,1,14,0,2,28,2,133
"Chicago, IL","Syracuse, NY",154,42,201,0,195,327,11,1622
"Chicago, IL","Tampa, FL",551,58,620,12,578,1079,122,4885
"Chicago, IL","Traverse City, MI",200,40,214,1,208,396,24,1403
"Chicago, IL","Tucson, AZ",169,19,160,1,144,285,7,1315
"Chicago, IL","Tulsa, OK",201,54,210,0,205,413,12,2028
"Chicago, IL","Valparaiso, FL",7,3,10,0,12,17,1,119
"Chicago, IL","Washington, DC",1326,108,1160,5,1173,2158,129,9950
"Chicago, IL","West Palm Beach/Palm Beach, FL",102,8,133,0,114,222,14,987
"Chicago, IL","White Plains, NY",78,35,113,0,97,191,17,1026
"Chicago, IL","Wichita, KS",241,47,255,1,201,453,22,1588
"Chicago, IL","Wilmington, NC",13,4,12,0,9,25,1,151
"Christiansted, VI","Atlanta, GA",19,1,16,0,16,27,1,120
"Christiansted, VI","Charlotte, NC",12,0,21,2,24,31,1,129
"Christiansted, VI","Fort Lauderdale, FL",15,4,67,8,51,89,8,282
"Christiansted, VI","Miami, FL",73,7,110,7,147,188,4,626
"Christiansted, VI","Orlando, FL",0,0,0,0,1,1,0,6
"Christiansted, VI","San Juan, PR",2,0,9,0,6,10,0,33
"Cincinnati, OH","Atlanta, GA",159,30,202,0,190,355,25,2827
"Cincinnati, OH","Austin, TX",70,13,76,0,15,117,2,575
"Cincinnati, OH","Baltimore, MD",55,4,31,1,76,93,3,729
"Cincinnati, OH","Boston, MA",146,14,245,1,67,331,19,2023
"Cincinnati, OH","Charleston, SC",7,0,8,0,4,14,1,114
"Cincinnati, OH","Charlotte, NC",298,41,267,3,358,549,25,2241
"Cincinnati, OH","Chicago, IL",319,34,435,3,230,654,27,3682
"Cincinnati, OH","Dallas/Fort Worth, TX",269,35,239,1,250,456,42,1877
"Cincinnati, OH","Denver, CO",174,19,161,0,158,299,8,1818
"Cincinnati, OH","Detroit, MI",83,22,53,0,96,169,5,1361
"Cincinnati, OH","Fort Lauderdale, FL",74,8,91,0,45,147,8,813
"Cincinnati, OH","Fort Myers, FL",72,12,88,0,82,155,16,796
"Cincinnati, OH","Houston, TX",43,2,55,0,19,75,13,582
"Cincinnati, OH","Jacksonville, FL",15,4,13,2,9,25,1,128
"Cincinnati, OH","Kansas City, MO",0,0,0,0,0,0,0,1
"Cincinnati, OH","Key West, FL",6,2,10,0,1,15,4,104
"Cincinnati, OH","Knoxville, TN",0,1,1,0,0,1,0,1
"Cincinnati, OH","Las Vegas, NV",67,6,67,0,69,138,5,699
"Cincinnati, OH","Los Angeles, CA",32,6,31,1,25,63,3,380
"Cincinnati, OH","Melbourne, FL",1,0,1,0,1,2,1,15
"Cincinnati, OH","Miami, FL",142,16,130,0,101,233,11,1177
"Cincinnati, OH","Minneapolis, MN",83,14,96,1,137,207,18,1391
"Cincinnati, OH","Myrtle Beach, SC",17,1,7,0,2,18,2,126
"Cincinnati, OH","Nashville, TN",27,0,11,0,37,37,1,210
"Cincinnati, OH","New Orleans, LA",9,2,6,0,5,14,1,90
"Cincinnati, OH","New York, NY",243,44,395,0,280,649,105,4625
"Cincinnati, OH","Newark, NJ",74,21,198,0,88,270,60,1746
"Cincinnati, OH","Norfolk, VA",1,0,3,0,2,4,1,24
"Cincinnati, OH","Orlando, FL",179,21,192,0,195,375,37,1789
"Cincinnati, OH","Pensacola, FL",3,0,0,0,3,5,0,63
