origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Asheville, NC","Key West, FL",6,1,15,0,7,18,6,107
"Asheville, NC","Las Vegas, NV",4,0,13,1,3,14,1,105
"Asheville, NC","Miami, FL",44,8,17,0,42,53,8,153
"Asheville, NC","Minneapolis, MN",61,4,43,2,48,87,4,251
"Asheville, NC","New York, NY",56,15,88,1,100,144,29,977
"Asheville, NC","Newark, NJ",36,11,69,1,32,102,36,629
"Asheville, NC","Orlando, FL",8,1,13,3,9,23,3,94
"Asheville, NC","Philadelphia, PA",7,1,3,0,9,9,1,47
"Asheville, NC","Phoenix, AZ",10,1,15,0,6,24,3,105
"Asheville, NC","Punta Gorda, FL",14,7,45,0,28,59,8,230
"Asheville, NC","Sanford, FL",43,18,72,0,51,109,16,484
"Asheville, NC","Sarasota/Bradenton, FL",4,2,9,2,16,21,10,122
"Asheville, NC","St. Petersburg, FL",39,16,68,4,80,121,19,488
"Asheville, NC","Valparaiso, FL",0,0,3,0,3,3,0,11
"Asheville, NC","Washington, DC",92,17,81,0,119,153,12,576
"Asheville, NC","West Palm Beach/Palm Beach, FL",4,7,15,1,9,23,2,133
"Ashland, WV","Myrtle Beach, SC",10,1,8,0,5,13,5,57
"Ashland, WV","Punta Gorda, FL",9,0,5,0,12,13,0,22
"Ashland, WV","Sanford, FL",45,7,38,0,48,66,1,137
"Ashland, WV","St. Petersburg, FL",36,8,32,0,46,69,7,167
"Ashland, WV","Valparaiso, FL",9,0,10,0,12,14,1,43
"Aspen, CO","Atlanta, GA",75,86,100,8,0,178,28,458
"Aspen, CO","Austin, TX",12,21,33,4,10,53,9,157
"Aspen, CO","Chicago, IL",116,44,140,14,77,286,65,996
"Aspen, CO","Dallas/Fort Worth, TX",104,109,136,10,58,296,73,1162
"Aspen, CO","Denver, CO",272,106,293,3,250,710,175,2852
"Aspen, CO","Houston, TX",82,25,91,3,90,219,51,661
"Aspen, CO","Los Angeles, CA",119,90,128,11,58,292,80,1169
"Aspen, CO","Phoenix, AZ",12,9,9,3,6,33,13,100
"Aspen, CO","San Francisco, CA",34,20,75,0,30,127,22,333
"Atlanta, GA","Albany, GA",123,32,59,0,2,157,7,765
"Atlanta, GA","Albany, NY",142,11,89,0,81,202,11,1011
"Atlanta, GA","Albuquerque, NM",99,4,72,1,33,131,8,953
"Atlanta, GA","Alexandria, LA",67,11,48,0,43,113,10,878
"Atlanta, GA","Allentown/Bethlehem/Easton, PA",89,12,81,0,49,142,14,1017
