month,origin_city,dest_city,is_late,cancelled,flight_number
1,"Atlanta, GA","Tampa, FL",128,2,560
1,"Atlanta, GA","Trenton, NJ",3,0,10
1,"Atlanta, GA","Tucson, AZ",10,0,69
1,"Atlanta, GA","Tulsa, OK",22,0,105
1,"Atlanta, GA","Valdosta, GA",12,0,62
1,"Atlanta, GA","Valparaiso, FL",24,0,143
1,"Atlanta, GA","Washington, DC",129,18,793
1,"Atlanta, GA","West Palm Beach/Palm Beach, FL",78,0,342
1,"Atlanta, GA","White Plains, NY",33,1,137
1,"Atlanta, GA","Wichita, KS",23,0,87
1,"Atlanta, GA","Wilmington, NC",11,0,94
1,"Atlantic City, NJ","Fort Lauderdale, FL",13,1,54
1,"Atlantic City, NJ","Fort Myers, FL",9,0,40
1,"Atlantic City, NJ","Orlando, FL",17,3,92
1,"Atlantic City, NJ","Tampa, FL",6,1,45
1,"Atlantic City, NJ","West Palm Beach/Palm Beach, FL",5,0,31
1,"Augusta, GA","Atlanta, GA",59,0,174
1,"Augusta, GA","Charlotte, NC",5,0,20
1,"Augusta, GA","Dallas/Fort Worth, TX",12,1,31
1,"Augusta, GA","Washington, DC",5,3,23
1,"Austin, TX","Albuquerque, NM",16,2,79
1,"Austin, TX","Amarillo, TX",4,0,19
1,"Austin, TX","Asheville, NC",1,1,9
1,"Austin, TX","Aspen, CO",12,1,23
1,"Austin, TX","Atlanta, GA",46,3,297
1,"Austin, TX","Baltimore, MD",14,5,91
1,"Austin, TX","Boston, MA",27,1,112
1,"Austin, TX","Bozeman, MT",1,0,1
1,"Austin, TX","Burbank, CA",7,0,28
1,"Austin, TX","Charlotte, NC",32,1,147
1,"Austin, TX","Chicago, IL",64,20,334
1,"Austin, TX","Cincinnati, OH",9,0,29
1,"Austin, TX","Columbus, OH",3,1,28
1,"Austin, TX","Dallas, TX",40,10,224
1,"Austin, TX","Dallas/Fort Worth, TX",112,7,379
1,"Austin, TX","Denver, CO",61,13,344
1,"Austin, TX","Des Moines, IA",1,1,8
1,"Austin, TX","Detroit, MI",10,1,79
1,"Austin, TX","Eagle, CO",4,0,10
1,"Austin, TX","El Paso, TX",35,2,118
1,"Austin, TX","Fort Lauderdale, FL",36,0,126
1,"Austin, TX","Fort Myers, FL",7,0,27
1,"Austin, TX","Grand Rapids, MI",1,1,5
1,"Austin, TX","Harlingen/San Benito, TX",11,0,54
1,"Austin, TX","Honolulu, HI",7,1,12
1,"Austin, TX","Houston, TX",66,9,310
1,"Austin, TX","Indianapolis, IN",14,1,59
1,"Austin, TX","Jacksonville, FL",4,0,7
1,"Austin, TX","Kansas City, MO",17,4,72
1,"Austin, TX","Knoxville, TN",0,0,5
1,"Austin, TX","Las Vegas, NV",84,3,263
1,"Austin, TX","Long Beach, CA",11,1,55
1,"Austin, TX","Los Angeles, CA",70,6,298
1,"Austin, TX","Louisville, KY",0,0,3
1,"Austin, TX","Lubbock, TX",5,1,27
1,"Austin, TX","Memphis, TN",2,0,7
1,"Austin, TX","Miami, FL",52,1,159
1,"Austin, TX","Midland/Odessa, TX",7,0,19
1,"Austin, TX","Minneapolis, MN",11,1,104
1,"Austin, TX","Nashville, TN",42,12,187
1,"Austin, TX","New Orleans, LA",45,1,167
1,"Austin, TX","New York, NY",49,2,203
1,"Austin, TX","Newark, NJ",19,13,137
1,"Austin, TX","Oakland, CA",10,0,20
1,"Austin, TX","Oklahoma City, OK",15,1,51
1,"Austin, TX","Omaha, NE",0,1,8
1,"Austin, TX","Ontario, CA",12,1,31
1,"Austin, TX","Orlando, FL",63,4,248
1,"Austin, TX","Palm Springs, CA",13,0,28
1,"Austin, TX","Philadelphia, PA",23,2,77
1,"Austin, TX","Phoenix, AZ",87,2,302
1,"Austin, TX","Pittsburgh, PA",13,1,31
1,"Austin, TX","Portland, OR",14,2,31
1,"Austin, TX","Provo, UT",0,0,8
1,"Austin, TX","Raleigh/Durham, NC",32,2,85
1,"Austin, TX","Reno, NV",0,0,6
1,"Austin, TX","Sacramento, CA",24,1,52
1,"Austin, TX","Salt Lake City, UT",30,3,136
1,"Austin, TX","San Diego, CA",32,9,132
1,"Austin, TX","San Francisco, CA",31,37,153
1,"Austin, TX","San Jose, CA",26,2,112
1,"Austin, TX","Santa Ana, CA",21,2,63
1,"Austin, TX","Sarasota/Bradenton, FL",0,0,2
1,"Austin, TX","Seattle, WA",30,21,124
1,"Austin, TX","Sioux Falls, SD",1,0,3
1,"Austin, TX","St. Louis, MO",6,0,56
1,"Austin, TX","Tampa, FL",27,0,110
1,"Austin, TX","Tulsa, OK",4,0,28
1,"Austin, TX","Washington, DC",16,7,130
1,"Bakersfield, CA","Dallas/Fort Worth, TX",5,0,31
