month,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Oakland, CA",398,19,277,5,453,639,63,3539
1,"Oklahoma City, OK",237,40,165,1,210,391,62,1732
1,"Omaha, NE",283,49,229,5,215,448,107,1904
1,"Ontario, CA",216,23,117,2,247,357,41,1885
1,"Orlando, FL",2026,226,2640,28,2024,3859,441,14304
1,"Pago Pago, TT",2,0,0,0,1,3,0,10
1,"Palm Springs, CA",150,21,117,0,175,292,57,1432
1,"Panama City, FL",48,10,57,0,53,85,1,417
1,"Pasco/Kennewick/Richland, WA",52,25,51,1,17,102,10,370
1,"Pellston, MI",13,2,4,0,0,15,11,51
1,"Pensacola, FL",104,30,117,1,128,205,12,857
1,"Peoria, IL",22,20,35,0,37,68,34,284
1,"Petersburg, AK",3,1,9,0,12,15,1,60
1,"Philadelphia, PA",918,146,823,16,1020,1672,181,6939
1,"Phoenix, AZ",1828,283,1543,27,1749,3204,344,15878
1,"Pittsburgh, PA",436,66,336,5,433,730,79,3250
1,"Plattsburgh, NY",4,1,8,0,0,9,0,40
1,"Pocatello, ID",1,5,2,0,0,6,0,62
1,"Ponce, PR",14,0,8,0,5,16,0,92
1,"Portland, ME",72,14,75,0,85,142,43,599
1,"Portland, OR",474,78,549,7,474,929,393,4288
1,"Portsmouth, NH",2,0,2,0,0,3,0,23
1,"Prescott, AZ",2,0,4,0,5,7,0,62
1,"Providence, RI",152,32,97,0,154,228,46,964
1,"Provo, UT",17,9,23,0,22,40,3,166
1,"Punta Gorda, FL",75,28,120,1,72,167,11,540
1,"Raleigh/Durham, NC",655,95,549,5,658,1094,118,4493
1,"Rapid City, SD",22,13,20,0,22,54,5,295
1,"Redding, CA",7,0,5,0,3,11,0,93
1,"Reno, NV",184,19,130,1,186,310,18,1545
1,"Rhinelander, WI",11,3,6,0,0,14,1,61
1,"Richmond, VA",187,29,145,3,204,325,20,1330
1,"Riverton/Lander, WY",2,1,2,0,2,5,2,39
1,"Roanoke, VA",32,10,29,0,33,63,12,257
1,"Rochester, MN",10,7,8,0,5,17,5,88
1,"Rochester, NY",139,38,120,2,144,251,44,958
1,"Rock Springs, WY",1,1,1,0,1,3,1,39
1,"Rockford, IL",1,1,1,0,2,3,0,65
1,"Roswell, NM",8,2,3,0,2,13,3,62
1,"Sacramento, CA",514,42,344,8,558,819,54,4144
1,"Saginaw/Bay City/Midland, MI",36,11,33,0,17,64,18,164
1,"Saipan, TT",0,0,0,0,0,0,0,31
1,"Salina, KS",3,1,9,0,11,16,7,61
1,"Salt Lake City, UT",1041,311,829,10,804,1828,109,9455
1,"San Angelo, TX",11,9,13,0,8,26,2,93
1,"San Antonio, TX",480,60,441,5,474,802,99,3285
1,"San Diego, CA",792,75,619,14,746,1286,341,7074
1,"San Francisco, CA",1172,159,1512,17,940,2466,575,10128
1,"San Jose, CA",422,27,234,5,468,691,77,3834
1,"San Juan, PR",578,60,503,10,404,843,30,3018
1,"San Luis Obispo, CA",35,4,34,0,33,69,1,351
1,"Sanford, FL",80,26,114,0,74,173,12,744
1,"Santa Ana, CA",351,52,273,4,349,633,36,3642
1,"Santa Barbara, CA",62,6,38,2,85,123,4,543
1,"Santa Fe, NM",13,3,4,0,3,20,2,124
1,"Santa Maria, CA",1,0,0,0,1,2,0,9
1,"Santa Rosa, CA",26,6,28,0,24,60,5,250
1,"Sarasota/Bradenton, FL",217,31,270,1,202,403,33,1585
1,"Sault Ste. Marie, MI",13,4,3,0,0,16,5,61
1,"Savannah, GA",187,28,162,3,162,308,29,1336
1,"Scottsbluff, NE",3,1,2,0,2,6,3,51
1,"Scranton/Wilkes-Barre, PA",14,4,10,1,26,34,3,129
1,"Seattle, WA",1118,331,1162,18,1049,2350,1002,11757
1,"Sheridan, WY",5,0,6,0,2,7,3,61
1,"Shreveport, LA",26,14,31,1,29,60,23,307
1,"Sioux City, IA",3,1,5,0,3,8,6,61
1,"Sioux Falls, SD",60,26,54,1,49,124,22,570
1,"Sitka, AK",9,3,17,0,17,30,4,92
1,"South Bend, IN",65,31,58,0,39,139,45,508
1,"Spokane, WA",187,48,130,2,117,295,43,1289
1,"Springfield, IL",3,0,2,0,2,5,0,12
1,"Springfield, MO",69,40,116,0,77,166,28,606
1,"St. Cloud, MN",4,0,2,0,1,4,0,19
1,"St. George, UT",12,5,6,0,9,25,0,207
1,"St. Louis, MO",646,70,514,8,672,1061,211,4935
1,"St. Petersburg, FL",61,24,87,1,55,139,5,580
1,"State College, PA",3,0,0,0,0,3,3,22
1,"Stillwater, OK",2,3,3,0,0,6,5,62
1,"Stockton, CA",4,1,5,0,6,9,0,39
1,"Sun Valley/Hailey/Ketchum, ID",26,11,19,0,10,47,3,264
1,"Syracuse, NY",155,34,138,0,137,256,26,1073
1,"Tallahassee, FL",57,13,69,2,52,104,6,480
1,"Tampa, FL",979,108,1132,9,885,1718,209,6823
1,"Texarkana, AR",6,3,2,0,1,11,6,69
1,"Toledo, OH",2,1,4,1,2,7,0,38
1,"Traverse City, MI",45,13,30,0,25,77,17,211
1,"Trenton, NJ",21,2,17,0,27,47,10,246
1,"Tucson, AZ",188,34,139,1,171,333,13,1584
1,"Tulsa, OK",174,32,127,3,168,289,23,1219
1,"Twin Falls, ID",3,3,2,0,0,6,2,62
1,"Tyler, TX",12,4,4,0,1,18,8,93
1,"Valdosta, GA",8,0,1,0,5,12,0,62
1,"Valparaiso, FL",56,19,49,1,70,117,5,553
1,"Vernal, UT",4,1,6,0,3,7,0,52
1,"Victoria, TX",3,0,2,0,3,6,3,53
1,"Waco, TX",14,5,3,0,0,19,6,93
1,"Walla Walla, WA",3,2,2,0,4,10,12,62
1,"Washington, DC",1679,300,1850,17,1786,3268,931,15475
1,"West Palm Beach/Palm Beach, FL",421,51,524,3,340,766,106,2908
1,"White Plains, NY",159,39,147,0,125,264,32,1076
1,"Wichita Falls, TX",9,4,2,0,0,13,5,62
1,"Wichita, KS",107,26,89,2,92,185,17,749
1,"Williston, ND",20,7,9,0,10,37,8,149
1,"Wilmington, NC",62,19,38,2,68,111,12,500
1,"Worcester, MA",11,0,9,0,6,15,9,101
1,"Wrangell, AK",1,3,5,0,11,13,2,60
1,"Yakutat, AK",2,5,13,0,12,16,2,60
1,"Yuma, AZ",17,0,9,0,9,26,0,111
2,"Aberdeen, SD",4,1,1,0,0,5,0,58
2,"Abilene, TX",7,0,5,0,3,9,0,141
2,"Adak Island, AK",0,0,0,0,0,0,1,8
2,"Aguadilla, PR",35,0,12,1,26,41,3,202
2,"Akron, OH",21,0,19,1,15,36,0,250
2,"Albany, GA",9,1,4,0,0,10,0,58
2,"Albany, NY",97,5,65,2,72,137,2,885
2,"Albuquerque, NM",153,17,107,0,155,268,5,1632
2,"Alexandria, LA",11,1,7,0,4,17,1,144
2,"Allentown/Bethlehem/Easton, PA",25,3,21,0,18,43,3,334
2,"Alpena, MI",4,2,1,0,0,6,0,50
2,"Amarillo, TX",29,3,17,0,22,42,0,394
2,"Anchorage, AK",73,16,113,13,73,180,15,1071
2,"Appleton, WI",43,5,34,0,30,69,3,435
2,"Arcata/Eureka, CA",18,4,21,0,11,38,3,137
2,"Asheville, NC",41,7,43,1,48,82,4,753
2,"Ashland, WV",4,0,4,0,2,5,0,17
2,"Aspen, CO",167,29,153,1,54,302,45,907
2,"Atlanta, GA",1521,141,1382,28,1187,2697,31,24802
2,"Atlantic City, NJ",25,3,51,5,26,60,1,282
2,"Augusta, GA",20,4,12,0,7,31,0,239
2,"Austin, TX",492,22,418,4,460,822,16,5876
2,"Bakersfield, CA",18,2,11,0,12,26,2,179
2,"Baltimore, MD",541,14,454,17,514,860,18,6895
2,"Bangor, ME",23,2,18,0,24,37,4,235
2,"Barrow, AK",5,0,4,0,5,8,1,29
2,"Baton Rouge, LA",25,0,14,0,17,37,1,386
