month,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
2,"Cordova, AK",0,0,0,0,6,5,3,58
2,"Corpus Christi, TX",10,3,18,0,11,28,0,313
2,"Dallas, TX",530,4,394,3,482,791,8,5522
2,"Dallas/Fort Worth, TX",2517,122,1841,10,1865,3674,23,22679
2,"Dayton, OH",50,5,40,0,34,81,2,555
2,"Daytona Beach, FL",13,1,5,0,13,23,0,229
2,"Deadhorse, AK",0,0,5,0,5,4,1,46
2,"Decatur, IL",4,1,2,0,4,8,0,79
2,"Denver, CO",3284,350,3291,12,2474,5250,205,21759
2,"Des Moines, IA",81,15,87,1,62,170,6,1177
2,"Detroit, MI",553,47,430,1,240,890,16,9097
2,"Devils Lake, ND",2,2,4,0,5,9,6,54
2,"Dickinson, ND",2,1,1,0,1,5,4,52
2,"Dodge City, KS",4,0,3,0,2,7,1,50
2,"Dothan, AL",2,0,2,0,3,5,0,58
2,"Duluth, MN",4,3,5,0,3,10,0,136
2,"Durango, CO",32,9,19,0,9,48,3,255
2,"Eagle, CO",64,9,64,1,56,121,5,600
2,"El Paso, TX",61,7,72,0,93,147,3,1157
2,"Elko, NV",0,1,0,0,0,1,0,29
2,"Elmira/Corning, NY",7,3,5,0,3,14,0,88
2,"Escanaba, MI",2,0,0,0,0,2,0,50
2,"Eugene, OR",28,6,46,0,30,70,2,538
2,"Evansville, IN",9,1,13,0,10,22,0,145
2,"Everett, WA",7,1,21,0,3,21,2,116
2,"Fairbanks, AK",7,4,21,0,4,24,1,187
2,"Fargo, ND",23,15,29,0,18,60,9,514
2,"Fayetteville, AR",55,14,76,1,47,127,1,921
2,"Fayetteville, NC",5,0,2,0,2,7,0,101
2,"Flagstaff, AZ",12,7,9,0,4,23,1,125
2,"Flint, MI",13,0,23,0,13,31,1,195
2,"Fort Dodge, IA",0,1,0,0,3,4,0,50
2,"Fort Lauderdale, FL",1314,88,1392,81,1007,2063,45,8111
2,"Fort Myers, FL",331,7,441,1,404,682,9,3778
2,"Fort Smith, AR",3,2,18,0,8,21,0,87
2,"Fort Wayne, IN",27,7,26,0,9,48,0,311
2,"Fresno, CA",64,6,68,1,47,133,6,839
2,"Gainesville, FL",8,1,5,0,7,14,0,185
2,"Garden City, KS",3,1,4,0,1,7,0,58
2,"Gillette, WY",4,0,3,0,1,6,1,58
2,"Grand Forks, ND",5,3,6,0,2,12,3,110
2,"Grand Island, NE",3,1,4,0,2,5,0,76
2,"Grand Junction, CO",27,6,24,0,14,51,2,290
2,"Grand Rapids, MI",69,22,84,0,75,159,5,1498
2,"Great Falls, MT",31,8,25,0,7,45,3,211
2,"Green Bay, WI",14,14,15,0,6,39,4,352
2,"Greensboro/High Point, NC",43,2,49,0,37,92,6,901
2,"Greer, SC",64,3,58,2,50,114,11,1164
2,"Guam, TT",1,0,1,0,0,1,0,58
2,"Gulfport/Biloxi, MS",10,4,5,0,5,19,0,238
2,"Gunnison, CO",9,0,7,0,4,13,1,89
2,"Hagerstown, MD",3,0,4,0,4,6,0,17
2,"Hancock/Houghton, MI",7,0,3,0,1,9,3,58
2,"Harlingen/San Benito, TX",10,0,16,0,16,27,1,322
2,"Harrisburg, PA",18,5,17,0,15,39,3,358
2,"Hartford, CT",120,1,140,1,114,236,14,1589
2,"Hattiesburg/Laurel, MS",1,0,2,0,6,7,0,50
2,"Hayden, CO",53,6,80,1,71,118,6,426
2,"Hays, KS",3,0,4,0,3,7,0,58
2,"Helena, MT",14,6,13,0,3,26,1,145
2,"Hibbing, MN",4,4,2,0,0,8,1,50
2,"Hilo, HI",34,4,3,0,37,43,2,549
2,"Hilton Head, SC",1,0,5,1,9,10,1,73
2,"Honolulu, HI",493,27,121,2,375,661,35,4778
2,"Houston, TX",1026,28,994,8,703,1740,27,12663
2,"Huntsville, AL",38,5,38,2,45,75,2,668
2,"Idaho Falls, ID",11,6,14,0,6,25,2,187
2,"Indianapolis, IN",205,40,275,3,191,438,23,3435
2,"International Falls, MN",2,3,1,0,0,4,2,50
2,"Iron Mountain/Kingsfd, MI",3,1,1,0,0,4,0,58
2,"Islip, NY",24,6,37,0,36,64,5,456
2,"Ithaca/Cortland, NY",1,1,1,0,2,4,1,58
