week_number,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
2,"Hattiesburg/Laurel, MS",0,0,0,0,0,0,1,12
2,"Hayden, CO",19,1,15,0,18,31,1,95
2,"Hays, KS",0,0,3,0,5,6,3,14
2,"Helena, MT",7,2,7,0,4,13,3,35
2,"Hibbing, MN",4,1,1,0,0,5,0,12
2,"Hilo, HI",28,14,1,0,31,41,1,134
2,"Hilton Head, SC",0,0,0,0,0,0,2,14
2,"Honolulu, HI",247,105,178,1,216,389,42,1159
2,"Houston, TX",446,82,630,5,470,941,217,3038
2,"Huntsville, AL",15,12,29,0,27,48,3,159
2,"Idaho Falls, ID",11,4,11,0,4,20,0,50
2,"Indianapolis, IN",138,27,124,3,140,232,23,795
2,"International Falls, MN",2,0,0,0,0,2,0,12
2,"Iron Mountain/Kingsfd, MI",2,3,2,0,0,4,0,14
2,"Islip, NY",16,0,6,0,18,21,7,107
2,"Ithaca/Cortland, NY",1,0,1,0,0,1,2,14
