week_number,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Nome, AK",0,1,1,0,1,1,0,8
1,"Norfolk, VA",19,0,30,0,31,48,0,414
1,"North Bend/Coos Bay, OR",0,0,0,0,0,0,0,5
1,"North Platte, NE",0,0,2,0,1,2,0,14
1,"Oakland, CA",88,3,57,0,103,142,7,1094
1,"Oklahoma City, OK",30,1,32,0,33,63,1,520
1,"Omaha, NE",57,1,61,0,57,102,3,556
1,"Ontario, CA",42,0,18,1,47,66,2,605
1,"Orlando, FL",660,10,474,23,531,951,35,4337
1,"Pago Pago, TT",0,0,0,0,0,0,0,5
1,"Palm Springs, CA",27,2,35,0,32,61,4,416
1,"Panama City, FL",7,0,5,0,9,11,0,126
1,"Pasco/Kennewick/Richland, WA",5,5,8,0,7,20,2,133
1,"Pellston, MI",3,1,2,0,0,4,1,15
1,"Pensacola, FL",23,0,15,0,22,35,0,266
1,"Peoria, IL",4,2,9,0,7,16,0,87
1,"Petersburg, AK",0,0,1,0,2,2,1,16
1,"Philadelphia, PA",220,16,217,3,191,386,12,2064
1,"Phoenix, AZ",490,13,306,4,503,769,26,5010
1,"Pittsburgh, PA",55,4,98,1,63,133,4,906
1,"Plattsburgh, NY",2,3,6,0,7,10,1,25
1,"Pocatello, ID",1,2,2,0,0,3,0,17
1,"Ponce, PR",5,0,6,0,6,10,0,36
1,"Portland, ME",9,4,8,0,9,16,17,174
1,"Portland, OR",117,3,79,0,102,196,17,1367
1,"Portsmouth, NH",1,0,3,0,0,3,1,14
1,"Prescott, AZ",2,0,0,0,2,4,0,18
1,"Presque Isle/Houlton, ME",0,0,0,0,0,0,0,2
1,"Providence, RI",29,5,34,1,32,56,10,310
1,"Provo, UT",6,7,10,0,3,15,3,70
1,"Punta Gorda, FL",39,4,30,1,40,61,4,245
1,"Raleigh/Durham, NC",101,2,117,0,95,188,1,1250
1,"Rapid City, SD",13,5,20,0,6,27,0,105
1,"Redding, CA",0,0,1,0,1,2,0,31
1,"Reno, NV",43,8,40,0,38,71,3,509
1,"Rhinelander, WI",0,0,0,0,0,0,0,16
1,"Richmond, VA",43,1,42,1,30,69,3,384
1,"Riverton/Lander, WY",0,0,0,0,0,0,0,13
1,"Roanoke, VA",4,0,2,0,5,6,2,51
1,"Rochester, MN",0,0,0,0,0,0,1,25
1,"Rochester, NY",24,3,24,1,17,39,5,263
